"ANYREGION","ITEM_AG","Year","Scen","value"
"DEU","GRS",2040,"FP_PTL",0.999869556645151
"DEU","GRS",2040,"EA_PTL",1.07400890072623
"DEU","GRS",2050,"FP_SOC",0.998691231114653
"DEU","GRS",2050,"EA_SOC",0.968282440135675
"DEU","GRS",2050,"FP_PTL",0.999501128599754
"DEU","GRS",2050,"EA_PTL",1.10978388048366
"DEU","CRP",2000,"FP_SOC",1
"DEU","CRP",2000,"EA_SOC",1
"DEU","CRP",2000,"FP_PTL",1
"DEU","CRP",2000,"EA_PTL",1
"DEU","CRP",2010,"FP_SOC",1
"DEU","CRP",2010,"EA_SOC",1
"DEU","CRP",2010,"FP_PTL",1
"DEU","CRP",2010,"EA_PTL",1
"DEU","CRP",2020,"FP_SOC",1
"DEU","CRP",2020,"EA_SOC",1
"DEU","CRP",2020,"FP_PTL",1
"DEU","CRP",2020,"EA_PTL",1
"DEU","CRP",2030,"FP_SOC",1.01211156069747
"DEU","CRP",2030,"EA_SOC",1.00433992986095
"DEU","CRP",2030,"FP_PTL",1.00005676622565
"DEU","CRP",2030,"EA_PTL",1.00274540339634
"DEU","CRP",2040,"FP_SOC",1.0039940528036
"DEU","CRP",2040,"EA_SOC",0.991352044070737
"DEU","CRP",2040,"FP_PTL",0.999258723817123
"DEU","CRP",2040,"EA_PTL",1.00923104187794
"DEU","CRP",2050,"FP_SOC",1.01190033871411
"DEU","CRP",2050,"EA_SOC",0.990783651530155
"DEU","CRP",2050,"FP_PTL",0.998200336250804
"DEU","CRP",2050,"EA_PTL",1.00105960668999
"DNK","GRS",2000,"FP_SOC",1
"DNK","GRS",2000,"EA_SOC",1
"DNK","GRS",2000,"FP_PTL",1
"DNK","GRS",2000,"EA_PTL",1
"DNK","GRS",2010,"FP_SOC",1
"DNK","GRS",2010,"EA_SOC",1
"DNK","GRS",2010,"FP_PTL",1
"DNK","GRS",2010,"EA_PTL",1
"DNK","GRS",2020,"FP_SOC",1
"DNK","GRS",2020,"EA_SOC",1
"DNK","GRS",2020,"FP_PTL",1
"DNK","GRS",2020,"EA_PTL",1
"DNK","GRS",2030,"FP_SOC",1
"DNK","GRS",2030,"EA_SOC",0.999997049365117
"DNK","GRS",2030,"FP_PTL",1
"DNK","GRS",2030,"EA_PTL",1
"DNK","GRS",2040,"FP_SOC",1
"DNK","GRS",2040,"EA_SOC",0.99662516084628
"DNK","GRS",2040,"FP_PTL",1
"DNK","GRS",2040,"EA_PTL",0.999997919783153
"DNK","GRS",2050,"FP_SOC",1
"DNK","GRS",2050,"EA_SOC",0.943684935913766
"DNK","GRS",2050,"FP_PTL",1.00005350534928
"DNK","GRS",2050,"EA_PTL",1.00004514760171
"DNK","CRP",2000,"FP_SOC",1
"DNK","CRP",2000,"EA_SOC",1
"DNK","CRP",2000,"FP_PTL",1
"DNK","CRP",2000,"EA_PTL",1
"DNK","CRP",2010,"FP_SOC",1
"DNK","CRP",2010,"EA_SOC",1
"DNK","CRP",2010,"FP_PTL",1
"DNK","CRP",2010,"EA_PTL",1
"DNK","CRP",2020,"FP_SOC",1
"DNK","CRP",2020,"EA_SOC",1
"DNK","CRP",2020,"FP_PTL",1
"DNK","CRP",2020,"EA_PTL",1
"DNK","CRP",2030,"FP_SOC",1.00501642414145
"DNK","CRP",2030,"EA_SOC",1.01060428738598
"DNK","CRP",2030,"FP_PTL",0.999928392677945
"DNK","CRP",2030,"EA_PTL",1.00293888495151
"DNK","CRP",2040,"FP_SOC",1.00471897518009
"DNK","CRP",2040,"EA_SOC",1.00891983398019
"DNK","CRP",2040,"FP_PTL",1.00000581136263
"DNK","CRP",2040,"EA_PTL",1.00502577617086
"DNK","CRP",2050,"FP_SOC",1.00461348540129
"DNK","CRP",2050,"EA_SOC",1.01126030393331
"DNK","CRP",2050,"FP_PTL",1.0001593021732
"DNK","CRP",2050,"EA_PTL",1.00835738497745
"ESP","GRS",2000,"FP_SOC",1
"ESP","GRS",2000,"EA_SOC",1
"ESP","GRS",2000,"FP_PTL",1
"ESP","GRS",2000,"EA_PTL",1
"ESP","GRS",2010,"FP_SOC",1
"ESP","GRS",2010,"EA_SOC",1
"ESP","GRS",2010,"FP_PTL",1
"ESP","GRS",2010,"EA_PTL",1
"ESP","GRS",2020,"FP_SOC",1
"ESP","GRS",2020,"EA_SOC",1
"ESP","GRS",2020,"FP_PTL",1
"ESP","GRS",2020,"EA_PTL",1
"ESP","GRS",2030,"FP_SOC",1.10610426547463
"ESP","GRS",2030,"EA_SOC",0.960728620281112
"ESP","GRS",2030,"FP_PTL",1.0000389991421
"ESP","GRS",2030,"EA_PTL",0.998786072009594
"ESP","GRS",2040,"FP_SOC",1.11690370829234
"ESP","GRS",2040,"EA_SOC",0.827699690876119
"ESP","GRS",2040,"FP_PTL",1.00004157849272
"ESP","GRS",2040,"EA_PTL",0.999098032962575
"ESP","GRS",2050,"FP_SOC",1.3003693582682
"ESP","GRS",2050,"EA_SOC",0.791513913925769
"ESP","GRS",2050,"FP_PTL",1.00005430762844
"ESP","GRS",2050,"EA_PTL",0.99870977781898
"ESP","CRP",2000,"FP_SOC",1
"ESP","CRP",2000,"EA_SOC",1
"ESP","CRP",2000,"FP_PTL",1
"ESP","CRP",2000,"EA_PTL",1
"ESP","CRP",2010,"FP_SOC",1
"ESP","CRP",2010,"EA_SOC",1
"ESP","CRP",2010,"FP_PTL",1
"ESP","CRP",2010,"EA_PTL",1
"ESP","CRP",2020,"FP_SOC",1
"ESP","CRP",2020,"EA_SOC",1
"ESP","CRP",2020,"FP_PTL",1
"ESP","CRP",2020,"EA_PTL",1
