"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","BASE","LUX","FOR","AREA",2030,"1000 ha",96.0995313
"GLOBIOM","BASE","LUX","FOR","AREA",2040,"1000 ha",96.0995313
"GLOBIOM","BASE","LUX","FOR","AREA",2050,"1000 ha",96.0995313
"GLOBIOM","BASE","LVA","FOR","AREA",2000,"1000 ha",3250.68
"GLOBIOM","BASE","LVA","FOR","AREA",2010,"1000 ha",3360.5671016
"GLOBIOM","BASE","LVA","FOR","AREA",2020,"1000 ha",3461.0087031
"GLOBIOM","BASE","LVA","FOR","AREA",2030,"1000 ha",3529.7817031
"GLOBIOM","BASE","LVA","FOR","AREA",2040,"1000 ha",3533.6748281
"GLOBIOM","BASE","LVA","FOR","AREA",2050,"1000 ha",3547.1252031
"GLOBIOM","BASE","MLT","FOR","AREA",2000,"1000 ha",0.3
"GLOBIOM","BASE","MLT","FOR","AREA",2010,"1000 ha",0.3
"GLOBIOM","BASE","MLT","FOR","AREA",2020,"1000 ha",0.3
"GLOBIOM","BASE","MLT","FOR","AREA",2030,"1000 ha",0.3
"GLOBIOM","BASE","MLT","FOR","AREA",2040,"1000 ha",0.3
"GLOBIOM","BASE","MLT","FOR","AREA",2050,"1000 ha",0.3
"GLOBIOM","BASE","NLD","FOR","AREA",2000,"1000 ha",359.833
"GLOBIOM","BASE","NLD","FOR","AREA",2010,"1000 ha",369.8332217
"GLOBIOM","BASE","NLD","FOR","AREA",2020,"1000 ha",387.7831328
"GLOBIOM","BASE","NLD","FOR","AREA",2030,"1000 ha",409.8246016
"GLOBIOM","BASE","NLD","FOR","AREA",2040,"1000 ha",454.56183595
"GLOBIOM","BASE","NLD","FOR","AREA",2050,"1000 ha",476.1624141
"GLOBIOM","BASE","POL","FOR","AREA",2000,"1000 ha",9061.933
"GLOBIOM","BASE","POL","FOR","AREA",2010,"1000 ha",9343.2546875
"GLOBIOM","BASE","POL","FOR","AREA",2020,"1000 ha",9514.9168125
"GLOBIOM","BASE","POL","FOR","AREA",2030,"1000 ha",9548.3593125
"GLOBIOM","BASE","POL","FOR","AREA",2040,"1000 ha",9577.0980625
"GLOBIOM","BASE","POL","FOR","AREA",2050,"1000 ha",9652.0560625
"GLOBIOM","BASE","PRT","FOR","AREA",2000,"1000 ha",3580.2
"GLOBIOM","BASE","PRT","FOR","AREA",2010,"1000 ha",3619.8150859
"GLOBIOM","BASE","PRT","FOR","AREA",2020,"1000 ha",3714.1436406
"GLOBIOM","BASE","PRT","FOR","AREA",2030,"1000 ha",3756.4136406
"GLOBIOM","BASE","PRT","FOR","AREA",2040,"1000 ha",3782.2095156
"GLOBIOM","BASE","PRT","FOR","AREA",2050,"1000 ha",3788.3612656
"GLOBIOM","BASE","ROU","FOR","AREA",2000,"1000 ha",6366.433
"GLOBIOM","BASE","ROU","FOR","AREA",2010,"1000 ha",6577.9937344
"GLOBIOM","BASE","ROU","FOR","AREA",2020,"1000 ha",6794.5015625
"GLOBIOM","BASE","ROU","FOR","AREA",2030,"1000 ha",6838.9588125
"GLOBIOM","BASE","ROU","FOR","AREA",2040,"1000 ha",6865.9140625
"GLOBIOM","BASE","ROU","FOR","AREA",2050,"1000 ha",6903.6673125
"GLOBIOM","BASE","SVK","FOR","AREA",2000,"1000 ha",1921.567
"GLOBIOM","BASE","SVK","FOR","AREA",2010,"1000 ha",1931.5761563
"GLOBIOM","BASE","SVK","FOR","AREA",2020,"1000 ha",1944.5187969
"GLOBIOM","BASE","SVK","FOR","AREA",2030,"1000 ha",1958.4309219
"GLOBIOM","BASE","SVK","FOR","AREA",2040,"1000 ha",1970.0560469
"GLOBIOM","BASE","SVK","FOR","AREA",2050,"1000 ha",1985.1848594
"GLOBIOM","BASE","SVN","FOR","AREA",2000,"1000 ha",1239.1
"GLOBIOM","BASE","SVN","FOR","AREA",2010,"1000 ha",1259.1000117
"GLOBIOM","BASE","SVN","FOR","AREA",2020,"1000 ha",1281.9198281
"GLOBIOM","BASE","SVN","FOR","AREA",2030,"1000 ha",1281.9198281
"GLOBIOM","BASE","SVN","FOR","AREA",2040,"1000 ha",1281.9198281
"GLOBIOM","BASE","SVN","FOR","AREA",2050,"1000 ha",1281.9198281
"GLOBIOM","BASE","SWE","FOR","AREA",2000,"1000 ha",27474.033
"GLOBIOM","BASE","SWE","FOR","AREA",2010,"1000 ha",28288.95675
"GLOBIOM","BASE","SWE","FOR","AREA",2020,"1000 ha",28684.666
"GLOBIOM","BASE","SWE","FOR","AREA",2030,"1000 ha",28751.606
"GLOBIOM","BASE","SWE","FOR","AREA",2040,"1000 ha",28828.053
"GLOBIOM","BASE","SWE","FOR","AREA",2050,"1000 ha",28877.241
"GLOBIOM","BASE","EUE","FOR","AREA",2000,"1000 ha",152815.703
"GLOBIOM","BASE","EUE","FOR","AREA",2010,"1000 ha",157271.0562848
"GLOBIOM","BASE","EUE","FOR","AREA",2020,"1000 ha",160123.4108224
"GLOBIOM","BASE","EUE","FOR","AREA",2030,"1000 ha",162721.89329125
"GLOBIOM","BASE","EUE","FOR","AREA",2040,"1000 ha",163291.6696037
"GLOBIOM","BASE","EUE","FOR","AREA",2050,"1000 ha",164318.723885
"GLOBIOM","BASE","GBR","FOR","AREA",2000,"1000 ha",2790.4
"GLOBIOM","BASE","GBR","FOR","AREA",2010,"1000 ha",2790.4
